from,to
Callophyllis_atrosanguinea,EpiphyticDiatoms
Curdiea_racovitzae,EpiphyticDiatoms
Georgiella_confluens,EpiphyticDiatoms
Gigartina_skottsbergii,EpiphyticDiatoms
Iridaea_cordata,EpiphyticDiatoms
Myriogramme_manginii,EpiphyticDiatoms
Neuroglossum_delesseriae,EpiphyticDiatoms
Palmaria_decipiens,EpiphyticDiatoms
Pantoneura_plocamioides,EpiphyticDiatoms
Picconiella_plumosa,EpiphyticDiatoms
Plocamium_cartilagineum,EpiphyticDiatoms
Pyropia_plocamiestris,EpiphyticDiatoms
Trematocarpus_antarcticus,EpiphyticDiatoms
Adenocystis_utricularis,EpiphyticDiatoms
Ascoseira_mirabilis,EpiphyticDiatoms
Desmarestia_anceps,EpiphyticDiatoms
Desmarestia_antarctica,EpiphyticDiatoms
Desmarestia_menziesii,EpiphyticDiatoms
Geminocarpus_geminatus,EpiphyticDiatoms
Phaeurus_antarcticus,EpiphyticDiatoms
Lambia_antarctica,EpiphyticDiatoms
Monostroma_hariotii,EpiphyticDiatoms
Urospora_penicilliformis,EpiphyticDiatoms
Ulothrix_sp,EpiphyticDiatoms
