from,to
Callophyllis_atrosanguinea,Ascidia
Curdiea_racovitzae,Ascidia
Georgiella_confluens,Ascidia
Gigartina_skottsbergii,Ascidia
Iridaea_cordata,Ascidia
Myriogramme_manginii,Ascidia
Neuroglossum_delesseriae,Ascidia
Palmaria_decipiens,Ascidia
Pantoneura_plocamioides,Ascidia
Picconiella_plumosa,Ascidia
Plocamium_cartilagineum,Ascidia
Pyropia_plocamiestris,Ascidia
Trematocarpus_antarcticus,Ascidia
Rossella_sp,Trematomus_bernacchi
Dendrilla_antarctica,Trematomus_bernacchi
Haliclonidae,Trematomus_bernacchi
Stylo_Myca,Trematomus_bernacchi
Briozoa,Ascidia
Ophionotus_victoriae,Dendrilla_antarctica
Ophionotus_victoriae,Haliclonidae
Ophionotus_victoriae,Stylo_Myca
Sterechinus_neumayeri,Rossella_sp
Sterechinus_neumayeri,Dendrilla_antarctica
Sterechinus_neumayeri,Haliclonidae
Sterechinus_neumayeri,Stylo_Myca
Rossella_sp,Malacobelemnon_daytoni
Dendrilla_antarctica,Malacobelemnon_daytoni
Haliclonidae,Malacobelemnon_daytoni
Stylo_Myca,Malacobelemnon_daytoni
