Competitor_1,Competitor_2,Reference_1,Reference_2
Iridaea_cordata,Adenocystis_utricularis,Klösser_1994,NA
Palmaria_decipiens,Adenocystis_utricularis,Klösser_1994,NA
Plocamium_cartilagineum,Adenocystis_utricularis,Klösser_1994,NA
Curdiea_racovitzae,Adenocystis_utricularis,Klösser_1994,NA
Gigartina_skottsbergii,Adenocystis_utricularis,Klösser_1994,NA
Ascidia,Ascidia,Sahade_etal _1998,
Iridaea_cordata,Ascoseira_mirabilis,Klösser_1994,NA
Myriogramme_manginii,Ascoseira_mirabilis,Klösser_1994,NA
Palmaria_decipiens,Ascoseira_mirabilis,Klösser_1994,NA
Plocamium_cartilagineum,Ascoseira_mirabilis,Klösser_1994,NA
Adenocystis_utricularis,Ascoseira_mirabilis,Klösser_1994,NA
Georgiella_confluens,Ascoseira_mirabilis,Klösser_1994,NA
Gigartina_skottsbergii,Ascoseira_mirabilis,Klösser_1994,NA
Ascidia,Briozoa,Bowden_etal_2006,Sahade et al  1998
Briozoa,Briozoa,Clark_etal_2017,Barnes&Arnold 2001
Ascidia,Dendrilla_antarctica,Sahade_etal _1998,NA
Briozoa,Dendrilla_antarctica,Bowden_etal_2006,NA
Stylo_Myca,Dendrilla_antarctica,Dayton_1972_1974,NA
Iridaea_cordata,Desmarestia_anceps,Klösser_1994,NA
Myriogramme_manginii,Desmarestia_anceps,Klösser_1994,NA
Palmaria_decipiens,Desmarestia_anceps,Klösser_1994,NA
Plocamium_cartilagineum,Desmarestia_anceps,Klösser_1994,NA
Adenocystis_utricularis,Desmarestia_anceps,Klösser_1994,NA
Ascoseira_mirabilis,Desmarestia_anceps,Klösser_1994,NA
Georgiella_confluens,Desmarestia_anceps,Klösser_1994,NA
Gigartina_skottsbergii,Desmarestia_anceps,Klösser_1994,NA
Gigartina_skottsbergii,Desmarestia_antarctica,Klösser_1994,NA
Iridaea_cordata,Desmarestia_antarctica,Klösser_1994,NA
Myriogramme_manginii,Desmarestia_antarctica,Klösser_1994,NA
Palmaria_decipiens,Desmarestia_antarctica,Klösser_1994,NA
Plocamium_cartilagineum,Desmarestia_antarctica,Klösser_1994,NA
Adenocystis_utricularis,Desmarestia_antarctica,Klösser_1994,NA
Ascoseira_mirabilis,Desmarestia_antarctica,Klösser_1994,NA
Desmarestia_anceps,Desmarestia_antarctica,Klösser_1994,NA
Georgiella_confluens,Desmarestia_antarctica,Klösser_1994,NA
Gigartina_skottsbergii,Desmarestia_menziesii,Klösser_1994,NA
Iridaea_cordata,Desmarestia_menziesii,Klösser_1994,NA
Myriogramme_manginii,Desmarestia_menziesii,Klösser_1994,NA
Palmaria_decipiens,Desmarestia_menziesii,Klösser_1994,NA
Plocamium_cartilagineum,Desmarestia_menziesii,Klösser_1994,NA
